artist,release,label,review
Doctor Alimantado,Love Is,Keyman,NA
Doctor Alimantado,Kings Bread,Ital Sounds,NA
Doctor Alimantado,Poison Flour,Ital Sounds,NA
Doctor Alimantado,"Born For A Purpose 12""",Keyman,"The one-and-only, heartically self-determined, best-dressed chicken, straight to the head of all intolerance and bigotry. Recorded at Channel One in 1977, after a Kingston bus driver swerved to put the young Rasta in hospital. In London, the record’s popularity with punks was a big leg-up for the fledgling Greensleeves label.
Monumental, anthemic music, in gloriously extended mixes, both sides.
A limited, anniversary edition on Tado’s own Keyman imprint."
Doctor Alimantado,One Trouble,Soul Proff,"Learner-plates Tado over KC White’s tuneless go at The First Cut Is The Deepest.
Still good."
Doctor Alimantado,Zion Gates,Keyman,"A chacteristically up-for-it and punchy next cut of the Yabby You, with a concussive dub; first out in the mid-eighties."
Prince Allah,Stone,Freedom Sounds,With one of Tubby’s best dubs.
Prince Allah,Captive Birds,Jah Fingers,NA
Tony Allen / Moritz von Oswald / Wareika Hill Sounds,Ole Remix / Reggae Land Dub,Honest Jon's Records,"After Mark Ernestus’ mix of Moyege in this series, now his Basic Channel / Rhythm And Sound partner comes to the control tower."
Almighty Stones,Penetrate,Hot Stuff,"Charged, raw and onto you like a classic Half Moon, with booming bass, wailing organ, skanga guitar, sublime harmonizing and Tubbys-style mixing, including a rugged dub. Unnerving lyrics… but don’t miss."
Alpha & Omega with Paul Fox,Freedom Fighters,Alchemy Dub,NA
Alpha And Omega,Africa Is Calling,Iroko,NA
Alpha And Omega,Show Me A Purpose,Partial,NA
Alpha And Omega,Jah Protection,Partial,NA
Alpha And Omega,The Dub Is Out There,Digital Traders,NA
Alpha And Omega,Almighty Jah,Partial,NA
Alpha And Omega,It's Alright,Jah Fingers,"Ace. Four woozily atmospheric dubs from 1994, with swirling Pablo vibes, and vocalist Nishka entrancingly skirting trip hop. Odd and recommended."
Alpha And Omega,Stepping Up,Jah Fingers,"Pedigree UK steppers, featuring vocalist Nishka, remixed by the Disciples."
Alpha And Omega,One By One,Steppas,"A side of different vocals — Prince David, Jane Warriah and co — b/w their dubs."
Alpha And Omega,King And Queen,Steppas,Retrieved from 1989.
Alpha And Omega,Dub Plate Selection 1,Mania Dub,NA
Alpha And Omega,Dub Plate Selection 2,Mania Dub,NA
Alpha Steppa,Liberation,ZamZam,NA
Alpha Steppa,Dub Kingdom,Steppas,NA
Roland Alphonso,Cleopatra,Studio One,"Ska beast from the lake of fire with its garments dipped in blood. Plus From Russia With Love on the flip, for crying out loud. Total destruction."
Roland Alphonso,From Russia With Love,Studio One / Dub Store,Two all-time ska masterpieces: back-to-back fire.
Roland Alphonso,Sca-Balena,C & N / Dub Store,"Tremendous, previously-unreleased takes of ska instrumentals by the Soul Brothers. 
Rolando Al luxuriating in jazz; a Tommy McCook cha cha cha."
Roland Alphonso,Shelly Belly,Studio One,NA
Roland Alphonso,Ska-Culation,Studio One / Dub Store,"A Skatalites charger and a jolt of vintage Ethiopian ska rumpus, courtesy of Dub Store in Tokyo."
Roland Alphonso,Bongo Tango,C & N / Dub Store,NA
Roland Alphonso,ABC Rocksteady,Gay Feet / Dub Store,NA
Roland Alphonso,Sai Pan,Merritone / Dub Store,"Killer deep ska, superbly led by Roland A. Backed with the Black Brothers’ rude boy anthem, Born To Rule."
Roland Alphonso,Stranger For Durango,Merritone / Dub Store,NA
Roland Alphonso,Woman Of The World,Pyramid,NA
Roland Alphonso,Middle East,Pyramid,NA
Roland Alphonso,Istanbul,Duke Reid's,NA
Roland Alphonso,Song For My Father,Pyramid,Crucial version of the Horace; with a nice minor-key flip.
Roland Alphonso,1000 Tons Of Megaton,Unity / Dub Store,Head-to-head Bunny-Lee-supervised knees-up-mother-browns.
Althea And Donna,Gone To Negril,Pressure Sounds,"Bubbling irresistibly about the ‘feminine gender ranking agenda’ over the same rhythm as Devon Irons’ Jerusalem, in wildly genius Upsetters mixes. Hotly recommended for these. You’d be mad to miss it."
Carleen Anderson,Bird In Flight,Tuff Scout,NA
Gladstone Anderson,Holy Mount Zion,Pressure Sounds,"Classy roots, with backing by the Roots Radics (featuring some fine flute-playing), produced by Mike Brooks and Jah Lloyd."
Gladstone Anderson,Glad Sounds,Merritone / Dub Store,"With Lynn Taitt And The Jets at Federal in 1968. From Dubstore, Tokyo; now on vinyl."
Gladstone Anderson,Holy Mount Zion (Glad-Sound),Digikiller,"Two sides of gorgeous, top-notch roots, with the Roots Radics. 
Rich, heavy sound; sure, heartfelt singing.
Dub and discomix."
Patrick Andy,Ain't No Me,Digikiller,NA
Patrick Andy,Join Me,Digikiller,"Great, heavyweight Channel One gone to ground upon its original NY release; backed with a nice Revolution excursion. Both with dubs."
Bob Andy,War In the City,Jam-Rock,NA
Bob Andy,Games People Play,FRM / Dub Store,NA
Horace Andy,Dance Hall Style,Wackies,"Unmissable, cornerstone Wackies, back in.
Horace Andy’s greatest artistic achievement, surpassing even his Skylarking set for Studio One. With definitive reworks of songs he first recorded for Bunny Lee and Derrick Harriott (Money Money and Lonely Woman); a deadly version of Lloyd Robinson’s Cuss Cuss; and a first outing for Spying Glass, later versioned by Massive Attack. Musicians include Wackies regulars like Owen Stewart and Oral Cooke from Itopia, and Ras Menilik and Jah T; also Sleepy’s multi-instrumentalist spar Myrie Dread from the In The Light sessions for Hungry Town. At the desk, Lloyd Barnes, Junior Delahaye and Douglas Levy coax unequalled vocal performances from the singer, bejewelling ineffable extended mixes.
Essential reggae."
Horace Andy,Exclusively,Wackies,"Vintage Wackies, and — spun out of Horace’s all-time greatest album — unmissable."
Horace Andy,Children Of Israel,Pressure Sounds,NA
Horace Andy,Best Of Volume 1 : Just Say Who,Clocktower,NA
Horace Andy,Best Of Volume 2 : Collie Weed,Clocktower,NA
Horace Andy,"Best Of Horace Andy, Volumes 1 And 2",Clocktower,NA
Horace Andy,"Unity, Love And Strength",Federal / Dub Store,NA
Horace Andy,In The Light Dub,VP,Expert dubs by Prince Jammy.
Horace Andy,Black Man's Country,Pressure Sounds,"Sleepy’s first ever record, produced by Phil Pratt. Peter Austin on the flip probably trumps him, with some good, current advice."
Horace Andy,Sings For You And I,Clocktower,NA
Horace Andy,Gun Shot,Taxi Productions,"Heavy, sombre, Channel One murder."
Horace Andy,Get Wise,Pressure Sounds,Top-notch Horace — on the rebound from Studio One — recorded by Phil Pratt in the early-seventies.
Horace Andy,Illiteracy,Big House,NA
Horace Andy,In The Light,VP,"Top-drawer Horace, originally out in 1977, on Everton DaSilva’s Hungry Town label. With the likes of Augustus Pablo, Horsemouth, Bobby Kalphat, Tommy McCook, Vin Gordon and Leroy Sibbles. Strong throughout… but Problems — on Mr Bassie — and Government Land are both knock-out."
Horace Andy,The Best Of,Trojan,NA
Horace Andy,Earth Must Be Hell,Corporative Sounds / Dub Store,NA
Horace Andy,Showcase,Tad's,NA
Horace Andy,Love Is The Light,Techniques,Stalag… with Big Youth and King Tubby.
Horace Andy,Good Vibes,VP,"Superb Blood & Fire selection of scattered late-seventies outings, all in discomixes. Treasures include the  opener, Reggae Rhythm, with its blaring horns, originally out on Trio International; the 12” mix of Pure Ranking by Jammy, at Tubby’s; and the deadly triumvirate of Everton Da Silvas — Youths Of Today, Don’t Let Problems Get You Down and Mr. Bassie."
Horace Andy,Come Together,Digikiller,"Opening appetisingly with Meters-styled drumming and a garbled go at the guitar riff from Love And Happiness/Jungle Lion, this is first-rate Sleepy, at Randy’s in 1975, previously unreleased."
Horace Andy,Praise Him,Joe Gibbs,NA
Horace Andy / Naggo Morris / Wayne Jarrett,Horace Andy Meets Naggo Morris / Mini Showcase,Wackies,"Three front-rank reggae singers — with extensive credits for such producers as Coxsone Dodd, Augustus Pablo and Glen Brown — whose work at Wackie’s without question includes their very best. Originally two 10s."
David Anthony,All Night,Crystal / Dub Store,NA
Pad Anthony,Murderer,Jammy's / Dub Store,Heavenless — with a fast-chatting Papa Tullo.
Pad Anthony,Try A Time,King Jammy's Dub / Dub Store,With a Nitty Gritty dubplate do-over of Trial And Crosses.
Pad Anthony,Don't Let Me Down,Prince Jammy's Dub / Dub Store,NA
Pad Anthony,Ruff A Them,Prince Jammy's Dub / Dub Store,"Thumping soundboy frightener from 1987, with nice Eastern flourishes."
Pad Anthony,Got To Be Strong,Jammy's / Dub Store,NA
Pad Anthony,Assassinator,Jammy's,"Pad the lad, jeering at soundboy’s funeral casket, atop a rearing, fire-breathing Money Money. 
Crucial bunny."
Ashanti Wah,Elegant Shape,Fam's / Dub Store,NA
The Attaras,Brimstone And Fire,Pressure Sounds,"A Joe Higgs production lining up members of the Wailing Souls alongside the man himself, originally released on his own Elevation imprint."
Aura Meets Lee Perry At Black Ark,Full Experience,Sunspot,"Black Ark backing singers Aurelia Msimang (via Cedric’s United Africa), Candy MacKenzie and Pamela Reed, swirled into the signature 1978 Perry sound. Stand-out is the Nina Simone revision Young Gifted And Broke."
Joe Axumite,No Equal Rights In Babylon,Digikiller,"Super-tough, odd, scrubby sufferers with some terrific, knackered piano and quaintly acquiescent lyrics. Giddily cavernous dub. Killer Wackies."
Joe Axumite,Home To Africa,Digikiller,Crucial Wackies roots — three tough vocal cuts new to the single format.
Anthony B,Universal Struggle,Star Trail / Jah Fingers,NA
B.B. Seaton,I Love The Reggae,Soul Beat,NA
Baba Brooks And Friends,Gay Feet Every Night,Dub Store,"Ska And Jump Up For Your Happy Dancing And Listening.
Ebullient Sonia Pottinger showcase out on Doctor Bird in 1966. Oswald ‘Baba’ Brooks and his group backing The Saints, The Techniques and co."
Baby Cham,Dat Mi Seh,Mad House,NA
Buju Banton,Unchained Spirit,Unspecified,NA
Buju Banton,Voice Of Jamaica,Mercury,NA
Burro Banton,Praise Jah,Stereo One,NA
Family Man Barrett,Family Man Skank,Cobra / Dub Store,"A sublime, freely creative, dubwise instrumental and its version, from the same hallowed, far-out neck of the woods as the deepest Upsetters and Wackies."
Family Man Barrett,Distant Drums,Fam's / Dub Store,"Deeper-than-Spinoza, heavier-than-lead nyabinghi cut of Yabby You’s awesome Love Thy Neighbours (itself produced by Family Man, in 1974). You can’t touch Tubby’s dub on the original Defenders 7”... but both versions here are uncompromisingly dread, and essential in their own right."
Family Man Barrett,Eastern Memphis,Cobra / Dub Store,"Giddily killer, unutterably majestic horns-led instrumental by the legendary bassist, alongside his co-Wailers. 
Tubbys murder on the flip. 
Brilliantly reissued by Dub Store, in Tokyo."
Family Man Barrett,Soul Constitution,Star Apple / Dub Store,NA
Family Man Barrett,Soul Constitution — Instrumentals And Dubs,Dub Store,NA
Family Man Barrett,Cobra Style,Fam's / Dub Store,NA
Family Man Barrett,Well Pleased,Fam's / Dub Store,NA
Carlton Barrett And Family Man,The Sound Of Macka Dub,Clocktower,NA
Barrington Levy & Trinity,Lose Respect,Greensleeves,NA
Barry Reid,Reggae Gone International,Rockers,NA
BDF All Stars,Tribute To A Tradition,Jah Fingers,NA
Andrew Bees,Struggle And Strive,Digikiller,NA
Andrew Bees,Life In The Ghetto,Digikiller,NA
Al Bell,Babylon A Cannibal,Micron,"Tough, mid-seventies roots, produced by E.D. Ricketts of the Almighty Stones. (The pair cut a lovers treatment of the same rhythm — Baby Lue.)"
Beverley Simmons,"Train, Boats, Plane",Lee / Dub Store,NA
Big Joe,Nanny Ver. Skank,Bongo Man,NA
Big Joe,Weed Specialist,Digikiller,"Like some of the deejay’s earlier sides for Mudie’s, this cracking toast of Conquering Lion was voiced at King Tubby’s. Winston Edwards released through DIP in the UK; Spalding’s next stop was Brentford Road."
Big Willie,College Rock,Iron Side,NA
Big Youth,Tippertone Rocking,Negusa Nagast,Red vinyl.
Big Youth,Sky Juice,Negusa Nagast,NA
Big Youth,Jim Screechie,Negusa Nagast,"Eight classic titles on seven by the great man, back in. Red vinyl too, this killer."
Big Youth,Every Nigger Is A Star,Negusa Nagast,NA
Big Youth,What's Going On,Negusa Nagast,"We’ll happily listen to him sing, even.
Yellow vinyl!"
Big Youth,Screaming Target,Sunspot,NA
Big Youth,Give Thanks,Negusa Nagast,"Great, delirious Satta in tongues."
Big Youth,Live Right,Tuff Scout,"Tremendous. Big Youth overflowing with good and righteous vibes; churchical organ, fruity trombone, punchy rhythm. Now… where’s that copy of Instant Coma?"
Big Youth,Political Confusion,Digikiller,"Infectious, inimitable, suitably incoherent pot-stirring from the great deejay, over an ace dub of The Jewels’ Love And Livity."
Big Youth,Instant Coma,INBIDIMTS / Dub Store,NA
Bitty McLean,Walk Away From Love,Peckings,NA
Alton Black,Reunited,Digikiller,On the Chopper version of Billie Jean.
Black Man's Pride,,Soul Jazz,NA
Black Man's Pride,3: None Shall Escape The Judgement Of The Almighty,Soul Jazz,"A third entertaining, deep selection of Studio One roots."
Black Man's Pride,2: Righteous Are The Sons And Daughters Of Jah,Soul Jazz,NA
Black Out JA,Baltimore Revolution,High Power,NA
Pablove Black,Cuts And Bruises,Digikiller,A melodica instrumental right up there with his very best cuts. A lot more exalted — Rockers International style — than his Studio One killers.
Pablove Black,Across 110th Street,Digikiller,"Not the Womack song, but a fine melodica instrumental in two instalments. 
Contemplative and excursive — more like Pablo than Pablove’s own rugged Studio One sides.
Originally a mid-seventies Hot Stuff."
Black Traps,No Love,Mutt And Jeff,NA
Black Uhuru,Red,Island,NA
Black Uhuru,Black Sounds Of Freedom,Greensleeves,The CD is this 1981 album re-mastered — with three U-Black toasts — together with the original mixes as they appeared on the 1977 Love Crisis album. Vintage Prince Jammy.
Black Uhuru,Sensimelia,Taxi Productions,"Extended, with dubs."
Black Uhuru,Plastic Smile,Taxi Productions,NA
Black Uhuru,Guess Who Is Coming To Dinner,Taxi Productions,NA
Black Uhuru,Youths Of Eglington,Taxi Productions,NA
Black Uhuru,General Penitentiary (Extended Mix),Taxi Productions,NA
Black Uhuru,Hard Ground,Jammy's / Jah Fingers,NA
Black Uhuru,Wood For Me Fire,Ranking Joe,NA
Black Uhuru,Rent Man,Ranking Joe,NA
Black Uhuru,Leaving To Zion,Iroko,NA
Black Uhuru & Chronixx,I Love King Selassie,Jammy's / Dub Store,"Triumphantly reviving all-time-classic Jammy’s. Proper dub, too. (Though if you find yourself humming along, it may be time to pull out your copy of Evelyn Waugh’s eye-witness account of Selassie’s Coronation in 1930, and give yourself a good talking to.)"
Blacka T,Run Come Yah,Rockers International,NA
Blacka T,Good Musicians,Only Roots,"Infectiously bubble-up, late-eighties deejaying — filial love, apartheid, vegetables — over Augustus Pablo digi rug-cutters."
Blacka T,A Java,Rockers International,"Deejay Blacka T is slim but garrulous. This is a lovely, offbeat, digital revisiting of the almighty Java rhythm, though, and easily worth it for the masterful dub, with Pablo trying something different on melodica."
The Blues Busters,There's Always Sunshine,Sunshine / Dub Store,NA
The Blues Busters,I Won't Let You Go,Kentone / Dub Store,NA
The Blues Busters,Soon You'll Be Gone,Sunshine / Dub Store,NA
BMN Ska & Rock Steady,Always Together 1964-1968,Dub Store,NA
Boat To Progress!,The Original Pantomine Vocal Collection 1970-1974,Greensleeves,NA
Bob Drumbago,Play Paverty For Me,Tuff Scout,NA
Bob Livingston,Reggae Music,Firehouse / Dub Store,"Two excellent, righteous vocal cuts to a tough, downtempo, rootical rhythm, in a brief respite from dancehall at Tubby’s HQ.
Latest in Dub Store’s lip-smacking series of Firehouse dub plates."
Bob Soul And The United Stars,Message From The Congo,Digikiller,NA
"Bobby Ellis, Val Bennett",The Arabian Sound Of Reggae,Pressure Sounds,"Kaboom!
Flashing the black spot of Niney at his deadliest — Zorro, merciless avenger of the oppressed, re-stoking the furnace of his Westbound Train, but wheeling around and blazing eastwards…
And that’s only a secret-weapon version of None Shall Escape The Judgement on the other side, with Owen Grey at the mic.
Raging Tubbys fire."
Bobby Sarkie,Over And Over,Wackies,"Rudie will recognise Bobby Sarkie from The Tartans and The Immortals (not to mention his solo roots killer Better World). His singing here is expertly reined in by desolation, numbness and regret, over a hollowed-out, mesmeric rhythm, with some nasty synth-work and casually brilliant effects on the drums. The vocal cut is more than a minute longer than the version which opens the Jah Son Invasion album with such a flourish; and the mix is different, with more prominent keys, and toned-down bass. It’s previously unreleased, like the dub.
The B-side is booby-trapped with sensational instrumental excursions on Junior Delahaye’s Working Hard For The Rent Man and Jackie Mittoo’s almighty Drum Song, which conclude the same original tape-reel as Over And Over. Rent Rebate features masterful, boppish soprano saxophone-playing by Roland Alphonso, and restrained guitar interjections by Barry Vincent, with a Spanish tang. The superb hand-drumming on Mount Zion is by Ras Menelik; and it’s Mittoo himself on organ (or just maybe Clive Hunt, Wackies can’t quite remember)."
Cosmo Bobienco,Why,Studio One,NA
Yami Bolo,Poor Man's Cry,Rockers International,NA
Bongo Herman,Cripple Skank,Bongoman,NA
Bongo Pat,Black Generation,Digikiller,"Superb 1975 dry run at Randy’s for the more-coherent Young Generation, his classic recording for Augustus Pablo a few years later.
Previously unreleased.
Killer turn-up."
Booker T,Down Presser,DEB,NA
Boombastic Crew,Automatic Sound Killer,Partial,NA
Ken Boothe,Be Yourself,Studio One,NA
Ken Boothe,Can't You See,Links / Dub Store,NA
Ken Boothe,Old Fashioned Way,INBIDIMTS / Dub Store,"Killer. 
Typically masterful, soulful singing, over a sparkling rhythm. It’s the last gasp of the swinging sixties; geezer is hurt but randy. His missus has scarpered, so the coast is clear for some of this in-ting debauchery he’s been reading about in the papers. With a trombone-led moonstomp on the flip.
This first hit for Keith Hudson’s new label is a stone-cold re-wind in perpetuity. So play it back, Jack. Hook back on the track with a double attack."
Ken Boothe,Freedom Street,Real Gone,NA
Ken Boothe,The Happy Song,Carifta / Dub Store,"A fat, wide, brassy cover of his idol Otis Redding. Plus an ace, driving, vengeful Reggae Boys, on the flip."
Ken Boothe,Black Gold & Green,Real Gone,NA
Boston Jack,Great God Over In Zion,Miracle Productions,"Killer, rugged, deep, seventies roots included in the Native/Rockstone set from Pressure Sounds.
Yoked here to a mento-style sufferers, originally released on Ackie in 1969."
Bounty Killer,Enemies,Mad House,NA
Dennis Bovell,Decibel: More Cuts And Dubs 1976-1983,Pressure Sounds,NA
Dennis Bovell,Mek It Run,Pressure Sounds,NA
Dennis Bovell,Dub 4 Daze,Glitterbeat,"‘A collection of different dub mixes I found buried in my archive, and a few newly mixed cuts, done after re-exploring some earlier recorded material.’"
Brent Dowe & The Gaytones,Soul Masooka,Earth Sound,"Party-hearty reggae and funk versions of the Manu Dibango smash. Natty Dread had just hit the racks, too, and So Jah Say is rifled. Sonia Pottinger business."
Tony Brevett,Just Been Feeling Bad,Digikiller,"Ducking and diving between London and Kingston JA, Winston Edwards cut the Melodian on the monumental Conquering Lion rhythm in the mid-70s. Dark, hurting and self-disgusted… bad tune. "
Brigadier Jerry,Pirate Columbus,Digikiller,On Little Roy’s Christopher Columbus.
Brigadier Jerry,Jah Jah Children,Digikiller,"Briggy on Albert Malawi’s Children Of The Emperor; with a classy Sylvan Morris dub.
‘I never talk bout under a girl frock. I’m culture… I combine four or five styles and mek mine… people like U-Roy, Big Youth, Prince Jazzbo, Dennis Alcapone, mi listen dem man. They were before me.’"
Brimstone,Back Weh,Fam's / Dub Store,"London crew formed in the late seventies by Gus Phillips from Sierra Leone and Dominican Sam Jones. Nurtured by Grove Music; same family tree as Aswad. Just around the corner from Honest Jon’s in Ladbroke Grove, guitarist Peter Harris went on to set up the Kickin label (which put out Shut Up And Dance, Aaron Carl and Blaze)."
Annette Brissett,Love Power,Wackies,"Originally out in 1983, Love Power is co-produced by Fabian Cooke (from Itopia) and Lloyd Bullwackie Barnes, with assistance from Prince Douglas. Cooke plays most of the instruments himself, with his drumming centre-stage, though Ras Menelik puts in a brilliant shift on congas, and backing vocals are by Sugar Minott and the Love Joys. Cooke’s own well-crafted compositions are joined by covers of Irene Cara and the Four Tops, infectiously bridging roots, lovers and synthy, soulful eighties boogie. 
Betrayed is solid-gold, signature Wackies. He’s My God is a tasty sip of low-slung, grooving gospel-reggae. Evoking Michael Jackson, the jamming album-closer Drums is top-notch disco-reggae, opportunely poised for revival.
Terrific stuff, full of personality, charm and in-ting hybridity. "
Annette Brissett,Betrayed,Wackies,"Deep, rootical lovers, darkly seething with one-step-at-a-time hurt and steely, vengeful self-esteem. Hypnotic, stripped and desolate, with implacable drums and bass, dubwise from the start, the production is classic, unmistakable Wackies, featuring Fabian Cooke’s scattered, abrupt organ stabs and minimal guitar-work, Ras Menelik’s masterful nyabinghi drumming, and harmonic commiseration by Sugar Minott and the Love Joys (with a strangled sob at intervals). 
Over six minutes, the extended mix is different to the Love Power LP; and the additional dub, released here for the first time, is unmissable for its extra rawness and dubbed-out emptiness.
Plus thirteen minutes of blissful disco-reggae on the flip: two contrasting dubs of the Giorgio Moroder/Irene Cara/Flashdance cut from Love Power, both previously unreleased and a bit sick."
Bunny Brissett,Babylon Falling,Message,NA
Bunny Brissett,Better Safe Than Sorry,Message,"The superior, first recording, from 1981. 
Sublime Pablo roots."
Peter Broggs,Jah Golden Throne,Selena / Jah Fingers,"With the Roots Radics in full effect. The recording is rugged, heavy and alive, especially in the dub."
Mike Brooks,Love And Broad Highway,Pressure Sounds,NA
Mike Brooks,Night Raver,Archive,"London calling, from 1981. Originally ‘Night Ravia’, on the JA label Coptic Lion."
Mike Brooks,Tale Bearer,Tuff Scout,NA
Baba Brooks,Toast To James Bond,Gay Feet / Dub Store,NA
Baba Brooks,1st Session (Alternative Take),Gay Feet / Dub Store,NA
Dennis Brown,Wolf And Leopards,DEB,"The title track is Upsetter genius. Brilliant Niney productions here, too."
Dennis Brown,Love And Hate: Best Of Dennis Brown,VP,NA
Dennis Brown,Words Of Wisdom,VP,NA
Dennis Brown,Here I Come Again,Culture Press,NA
Dennis Brown,The Best Of The Niney Years,Heartbeat,NA
Dennis Brown,The Crown Prince Of Reggae: Singles 1972-1985,VP,"‘What about the half that’s never been told? The half, the half, the half that’s never been told.’
The DVD is a film of a 1979 performance."
Dennis Brown,Just Dennis,Trojan,"His masterpiece, with Niney. Unmissable."
Dennis Brown,No More Walls,Two Friends,NA
Dennis Brown,Lips Of Wine,Move & Groove / Dub Store,"The Crown Prince’s first-ever single, his own song, from around 1970 — backed with a tight and funky spaghetti instrumental from The Crystalites."
Dennis Brown,Silhouettes,Move & Groove / Dub Store,NA
Dennis Brown,Stay In My Corner,Jah Fingers,"Dennis Emmanuel Brown and Frankie Dancehall Paul in classic digi excursions on the great Little Way Different rhythm, for Record Factory."
Dennis Brown,The Half,Jah Fingers,NA
Dennis Brown,Comma Comma,Pioneer,NA
Dennis Brown,DEB Music Showcase Vol. 4,DEB,NA
Dennis Brown,In The Mood For Love,Jah Fingers,"Fully entertaining six-tracker from Roy Francis for Mixing Lab.
Fine, late DEB, plus two quite different vocal offerings, a deejay cut and a brace of dubs."
Dennis Brown,Just Dennis & Deep Down,Doctor Bird,NA
Dennis Brown,I Don't Want To Be No General,DEB,NA
Dennis Brown,Repatriation,Joe Gibbs,NA
Glen Brown,Big Dub,Drum And Bass,"‘Glen Brown Meets King Tubby — 15 Dubs From Lost Tapes.’ Authentic, raw, unheard mixes of masterpieces like Sylford Walker’s Eternal Day, and several one-aways."
Glen Brown,I'm Your Puppet,Pantomine,"A nice version to run alongside Ken Boothe — overlooked as a singer, Glen Brown — with a deadly Tommy McCook on the flip. Rock A Shacka action."
Leroy Brown,Help Us Jah,Faithful Few,NA
Dennis Brown,Tracks Of Life,Jammy's / Dub Store,"The one-and-only Dennis Emmanuel Brown on the meaning of life, in full voice, over Swing Easy! Some dark, stern, monster-bass soundboy-intimidation from Nitty Grity on the flip — self-cast as the hill and gully rider of JA folklore, stranded in moonlit scrub-land, zombies closing in."
Glen Brown,Collie And Wine,Beverley's,NA
Leroy Brown,Time So Hard,Prince Jammy's Dub / Dub Store,Top-notch digi sufferers from 1987. Plenty of Dennis in Leroy’s singing.
Leroy Brown,Youthman,King Jammy's Dub,"Shades of Brown. Leroy B sounds like Dennis B, over Glen B’s immortal Wicked Can’t Run Away rhythm. Typically expert digi do-over by KJ, with an ace dub. 
Creativeness pon the dance."
Leroy Brown,Blood A Go Run,Jamwax,NA
Al Brown,Ain't No Love,Pressure Sounds,"This searing version of Bobby Bland’s blues scorcher is a seasonally cathartic shot of hurt, dread and solidarity. A deadly sleeper from the legendary Darker Than Blue compilation. Now all you need is the Dillinger. 
Happy Christmas."
Al Brown,Proverbs,Pressure Sounds,"Ace roots thumper, with scorching horns and tough dub, expertly recorded at Channel One by Ernest Hookim. Al came through as Irving Brown at Studio One. Built around singers Bunny Lara and Derek Lara, the Seventh Extension was the house band of the Zodiac label, on this occasion with Derek drumming and Lloyd Parks on bass. ‘Words spoke in haste will all go to waste so be cool.’ Hand-stamped bag."
Al Brown,Don't Turn Around,INBIDIMTS / Dub Store,NA
Foxy Brown,Love Is Where You Find It,Dug Out,"Jennifer Hylton’s early-nineties r’n'b-tipped torpedo, recorded by Lloyd Pickout Dennis at Dynamic, with the Firehouse Crew."
Junior Brown,Fly Me Away Home,Jah Shaka,"1982 set from the Ladbroke Grove singer, including his hit Warriors."
Junior Brown,Forward Up,Jah Bless,NA
Junior Brown,What A Disaster,Pressure Sounds,"Killer Sly and Robbie rhythm — there on the Dial M For Murder dub LP — loaded with brilliant electronics, and expertly voiced (in the UK) by Junior Brown. Ace."
Noel Brown,Heartbreak Girl,Crystal / Dub Store,NA
Noel Brown,Phoenix,Crystal / Dub Store,"Laid-back rocksteady soul from Noel, out of the Chosen Few — coupled with a fun Ike Bennett organ workout."
Brown Sugar,I'm In Love With A Dreadlocks: Brown Sugar and The Birth Of Lovers Rock 1977-80,Soul Jazz,NA
Barry Brown,Stop Them Jah,Archive,On King Tubby’s version of Declaration Of Rights.
Barry Brown,We Can't Live Like This,Pressure Sounds,"Boof. Searing sufferers, on a megaton Aggrovators rhythm. Both sides extended murder."
Barry Brown,Midnight Rock At Channel One,Clocktower,NA
Barry Brown,Step It Up Youthman,Radiation Roots,Breaking through with Bunny Lee in 1978.
Barry Brown,No No No,Digikiller,"Heavy, early-eighties dubplate action, from the Little John Showdown sessions. Straight to the head of that recent, tacky bootleg."
Barry Brown,Land Of The Living,Digikiller,"Tough, early ‘80s Barry — breathing hard, with a dose of the Johnny Clarkes — self-produced by the late singer and his wife Lisa, for their own Snowbird label."
Barry Brown,Separation,Thompson Sound,NA
Barry Brown,Forward On,Digikiller,Four cuts of the fail-safe Skylarking rhythm. The BB comes from the Far East LP with an unreleased dub. An excellent Clarence Parks is out here for the first time (with a dub that sounds a bit live and direct).
Barry Brown,Jah Jah Is Calling Us,Roots Youths,NA
Barry Brown,The Thompson Sound 1979-82,Hot Milk,NA
Barry Brown,Blackman Should Never Turn His Back,Eek-A-Mouse,NA
Barry Brown,Jah Jah We Are Calling,Digikiller,NA
Barry Brown,Got To Be Sure,Digikiller,"Two versions of the Horace: Barry’s is from the sessions for his second Channel One LP, and never before released, like the dub; on the flip, with backing vocals like a piss-take of Black Uhuru, Little John’s is from his Showdown LP with Frankie Paul, and comes with a previously unreleased dub."
Barry Brown,Leader Of The Massive,Jah Fingers,NA
Barry Brown,I Love Sweet Jah Jah,Black Roots,NA
Henry Buckley,Beware Of All Those Rude Boys,Merritone / Dub Store,NA
Henry Buckley,Thank You Girl,Merritone / Dub Store,"1966 rocksteady, elegantly heartfelt as Nat King Cole."
Henry Buckley,I'd Like To Know,Merritone / Dub Store,NA
Henry Buckley,With A Girl Like You,Merritone / Dub Store,NA
Henry Buckley,You Never Could Be True,Merritone / Dub Store,NA
Michael Buckley,Test We,King Jammy's Dub / Dub Store,Rock Fort Rock and China Town excursions.
Bullwackie,Free For All,Wackies,"Out originally mid-70s on the Aires label, in a plain, stencilled sleeve, this is based around three cuts of the dreader than dread Free For All rhythm. "
