artist,release,label,cat_no,review,release_id
Don’t DJ,Hexentrix,Berceuse Heroique,021,"Minimalist, pulsating, mesmerising rhythm textures",37132
Benjamin Damage,Obsidian,50 Weapons,LP 018,Big room Techno set,31450
Healing Force Project,Entheogenic Spore,Bedouin,008,"Unique, subtly pulsating, dare-to-be-different Ambient Techno explorer",32380
King Midas Sound / Fennesz,Edition 1,Ninja Tune,Zen 225,"Psychedelic, droning Ambient feat. vocalists Kiki Hitomi & Roger Robinson ",36519
Johnny Kafta Anti-Vegetarian Orchestra,Johnny Kafta Anti-Vegetarian Orchestra,Discrepant,022,Fine improvisational Ambient Electronica / Free Rock album,19588
Moodcut,Heart Beat Takeaway,Mörk,006,Hazy Techno trips,31565
Bremen,Second Launch,Blackest Ever Black,033,"Cinematic, epic, chilled Indie/Drone-Rock album",71065
DJ Rashad,I Don’t Give A Fuck,Hyperdub,HDB 075,"Dense, intense, well executed Chicago Footwork EP",68804
"Elmore Judd, Bullion",Petrol Laughs EP,Honest Jon’s,HJP 070,"’cold-sweat compounds of art-funk, baglama high-life and horrorama’",67028
Wbeeza,City Shuffle EP,Third Ear,108,House,59978
Romare,Projections,Ninja Tune,Zen 218,Jazz/Soul/Funk based cut-up style House & instr. Hip Hop; comes w/ download,01568
Romansoff,Infinite Dreams,Mörk,005,Fine dubbed out Techno cuts,31564
El Mahdy Jr.,Ghost Tapes,Discrepant,019,Leftfield Dubstep related Ambient adventure,19560
Leon Vynehall,Brother Sister EP,Aus Music,1348,Punchy big room DJ tool Deep House tracks,68452
Norm Talley,The Journey Remix,Third Ear,201102,Chilled house version of NT’s house anthem,62956
Leon Vynehall,Open EP,3024,023,Big room Tech House party cuts,69130
Ekkert,When All Is Lost Nothing Is Forgotten,Bastakiya Tapes,T 002,"Subtle Modern Classical related, quiet Ambient affine sound scapes",31389
Paul Bennett,On Before Off,Modernista,005,"Minimalist, retroesque House & Techno cuts",73708
Wbeeza,Can Of Worms,Third Ear,201502,Funked up DJ tool House tracks,72709
Martyn,Masks,Brainfeeder,024,Martyn’s crafty & classic Detroit school rooted take on Techno,64027
Moiré,Bboy 202,Werkdiscs,010,Outsider Techno,70901
Walton,Bulldoze EP,Tectonic,085,Classy UKG rooted UK House stepper,73522
Kink Gong,Tanzania,Discrepant,017,Immersive sonic journey through Tanzania,19660
Tissu,Unmanned Vehicle,Mörk,004,Fine dubby Techno trips,31562
Momomo,Dard D'Art EP,Third Ear,201504,DJ tool House/Techno tracks,73277
EMG,Reaction,Berceuse Heroique,017,"Distorted Techno, Acid & Noise excursions",40435
Mark Forshaw,The Fuck,Berceuse Heroique,020,"Heavy, noisy Acid related psychedelics",40437
Eddie Niguel,The Journey,Midnight Shift,W 001,Minimal to classic rave affine big room Tech House set,35691
Dusky,Nobody Else EP,Aus Music,1345,Big room DJ tool Tech House/House,67907
Federsen,Point Reyes,Fifth Interval,001,Bristolian Dub Techno/Ambient Electronica,68406
Various Artists,Moosebumps,Infinite Machine,016,Leftfield UKG leaning IDM EP,29405
Pearson Sound,Raindrops,Pearson Sound,7,Sweet Electronica miniatures,70044
Love Cult,Fingers Crossed,Public Information,007,"Fine, blue Ambient album",67173
Nthng,1996,Mörk,003,Ace Dub Techno EP,31561
Occult & Audialist,Occult & Audialist,Smokin’ Sessions,028,Chill-out & Lounge Ambient downtempo pulses,13737
Richard Harrow,∆ÇÎ∂ H∆MM€R,Lobster Theremin,FIRE 01,Minimalist lo-fi Acod House trip,14332
Machinefabriek,Halfslaap II Live,Bastakiya Tapes,T 001,Quite Modern Classical sound scapes,31374
51717 / Silent Servant,Jealous God 6,Jealous God,006,Ambient/leftfield Techno related EP w/ mixed CD thrown in,72779
Ricardo Jefferson,A Brutal Truth EP,Third Ear,106,Stomping old school techno & electro,59559
New York Transit Authority,Brooklyn Underground,Lobster Boy,010,"Effective, raw DJ tool Electro/Techno",72739
Daze,Neuromance,Lobster Theremin,012,"Bouncy to breakbeats saturated, lo-fi House EP",13909
Raw M.T.,La Duna,Mörk,002,Fine stomping House / Techno cuts,31560
Missqulater,They Rave Us,Central Processing Unit,00010000,Fine Braindance in UK Hardcore/Jungle revival mode,72610
Felix K,Tragedy of the Commons,Blackest Ever Black,036,Killer epic Ambient/leftfield Ambient Techno EP,72570
Yannick Dauby,"Tsi̍t Lâu Tsuí: Experimental Sound Studio, Vol. 1",Discrepant,015,Collage of subtly treated field recordings,19584
ASC,Lost Sync Part 2,Samurai Music,Horo 006,Fine Ambient Techno / Electronica excursions,66961
Mr KS,Take A Trip,Music Is Love,011,Minimalist DJ tool Tech House,72528
Bleaching Agent,Babolat EP,Komisch,020,"Banging, dark UK Techno",72467
MDDA,Awww!,In My Own Sweet Time,002,"Subtly dubbed out, minimalist UKG/Electro hybrids",04668
Ozel AB,Crimes,Lobster Theremin,011,Subtly pulsating Ambient House groovers,13908
Alland Byallo,"Bones, Flesh",Third Ear,201501,Diversified DJ tool House album,72479
Jauzas The Shining & Victoria Lukas,Shadows,Last Known Trajectory,1018,1980s synth-pop inspired Electro EP,72455
Thomas Brinkmann,When The Music...,Third Ear,201410,DJ tool House tracks,72436
Wbeeza,Heavystuff EP,Third Ear,096,Classic house flav. tracks,56614
El Prevost,The Surreal EP,Third Ear,201409,Moody DJ tool House tracks,72231
XXXY,Kerpow,All City,OO 12XB,UK funky & Electro-esque DJ tool cuts,64267
Chicago Jim,Chicago Jim,Lobster Theremin,008,"Retro-esque, partly Ambient-leaning, minimalist lo-fi House album",13906
Tuff Sherm,Scope,Templar Sound,009,Leftfield UKG & Techno related EP,72208
Guido,Moods Of Future Joy,Tectonic,074,"Hybridizing Electronica w/ elements of Grime, Dubstep & R&B",29575
Pursuit Grooves,Frantically Hopeful,Tectonic,CD 011,R’n’B-ish Hip Hop rooted free styling warm downtempo album,63540
Midland,Placement,Aus Music,1238,"Effective, retroesque House mixes w/ rave factor",65937
Gerry Read,"3,2,1",Aus Music,1471,Big room DJ tool House tracks w/ UKG traces,72050
Luke Vibert,Halloween (Part One) EP,Hypercolour,040,Vibert’s acid works with fantastic Space Dimension Controller remix,06116
DJ Rashad,Itz Not Rite,Planet Mu,285,The 2010 update for the Chicago ghetto house phenomenon: sub heavy juke/footwork cuts,61870
DJ Roc,The Crack Capone,Planet Mu,291,The 2010 update for the Chicago ghetto house phenomenon: sub heavy juke/footwork cuts,61873
Mala,"I Wait, Pt. 2",Deep Medi Musik,7001,One sided issue; classy Mala cut (one per customer),71813
Various Artists,"This Ain't Chicago 12""",Strut,085 EP,Valuable compilation of seminal late 80's/early 90's UK House tracks - real deal alert!,66401
Recast,Consensual,Third Ear,201105,Subtle ambientish Techno incl. percussive Lorca Music version,63771
Push Button Objects,A Day In A Life,Skam,011,(one mint copy w/ insert),26351
B. Riddim,Magic My Ear,Third Ear,201406,Fine spaced out UKG steppers,71366
Ziro,Pulse,Fulcrum,003,Excellent UK Techno & techy UK Bass EP,68798
Stefny Winter,The Fall,Third Ear,201408,Bouncy DJ tool House album,71921
Damu,Unity,Keysound,027 CD,Fine IDM/UKG & UK Funky House/Electronica rooted album,64350
Various Artists,Halha,Downwards,DN 02020,"Full circle label showcase featuring the noisier, leftfield end of Techno",69241
Distal,Retrograde Space Opera,Anarchostar,001,Wild UK Bass/Techno hybrid & IDM rooted Electronica excursions,71809
Nu Era,Nouveau Synthetic Compositions,Omniverse,CDV 07,4 Hero’s return to crafty Detroit Techno/Jazz hybrids; in gatefold sleeve w/ CD thrown in,71807
Bruce,Just Getting Started,Dnous Ytivil,599,Bristolian Techno/House affair,71756
Pursuit Grooves,Fox Trot Mannerisms,Tectonic,038,Excellent spaced out & soulful hip hop & warm deep tripping house EP,60744
Taraval,Streetways EP,Text,031,Fresh UK House bangers,70716
Daphni & Owen Pallett,Julia,Jiaolong,011,Fresh UK House bangers,70718
Mickey Pearce,Instructions EP,81,001,Out there UK Bass/UK House adventures,71675
Dez Williams,Strength in Numbers,Bedouin,003,Heavily saturated Acid Electro centered EP,32324
Pirahnahead,NGTV NRG EP - Stage 1,Third Ear,109,Diverse acidic & raw DJ tool house,60190
Moiré,Never Sleep EP,Werkdiscs,003,Outsider Techno,67572
Effy,Distant Sounds,Infinite Machine,026,"Minimalist DJ tool Tech House w/ interesting, experimental Techno remixes",71677
Semtek,Pizza,Don’t Be Afraid,006,Disco-esque DJ tool Tech House,63983
CEOL,The Light,Don’t Be Afraid,016,Fine leftfield Ambient Techno EP,71594
Airhead,October,Hemlock,024,"Far out, killer UK House",71595
Andy Mac,Regular & Irregular,Idle Hands,022,"Stripped down, minimalist, dubbed out DJ tool UK House & Dubstep reminiscent cuts",69546
Altered Natives,The Bitch,3024,009,DJ tool techno cuts,61107
Ramadanman & Midland,Your Words Matter,Aus Music,1027,Subs driven floating house cuts,60756
Floating Points,Sparkling Controversy,Eglo,038,"One sided 12""; tripping House cuts",71430
Hound Scales,Pinky Violence EP,Fifth Wall,014,"Excellent, hard hitting, fresh Techno EP",71436
Midland,Trace EP,Aus Music,1344,Big room DJ tool Tech House/House,67693
Calibre,Trimming,The Nothing Special,009,Classy UKG leaning House by a Drum & Bass legend,70706
Pick A Piper,Remixes,Phonica,White 006,Leftfield Electronica/Ambient House mixes,68539
Dopeus,The Getaway EP,Third Ear,201307,Diversified Beatdown House cuts,68428
Bicep Vs,You/Don’t EP,Aus Music,1239,DJ tool UK House,66360
Appleblim & Komon,Motion Blur,Aus Music,1466,UKG tinged DJ tool House tracks,71387
Throwing Shade,Chancer,Happy Skull,005,"Stripped down, atmospheric House",71382
Imre Kiss,Raw Energy,Lobster Theremin,006,Diverse EP w/ left-field House drifters & chilled Ambient Electronics,13904
Fudge Fingas,About Time,Prime Numbers,008,Fine retroesque & warm house cuts,60448
Tapirus,Where Are We Heading,Midnight Shift,X 002,Oldschool Acid psychedelica relying House trips,35710
Horsepower Productions,Return To E Remix,Berceuse Heroique,006.5,"HP remix reissued, accompanied by Beneath cut, comes w/ poster thrown in",71256
Nautiluss,Solstice EP,Audio Culture,010,"Atmospheric, swinging Techno EP",69747
Guy Andrews,Resistivity,Hemlock,020ii,The class of 2012 - Hemlock UK Techno/House showcase - Highly Recommended!,67133
Rawaat,Day Laborer,Lobster Theremin,005,"Spaced out, lo-fi-esque Techno set w/ noisy Ambient bonus too",13903
JoeFarr,Sentry,Power Vacuum,009,"Hard, banging, noisy UK Techno master",19609
B12,Last Days Of Silence,B12,019,Compilation of classic & unreleased B12 tunes on the edge of electronica & Detroit techno,56593
Vereker,Murder License EP,Berceuse Heroique,008,"Pure DJ tool Techno rhythm track, b/w rhythmic Noise jams",25301
Sei A,Hyphen,Hemlock,020i,The class of 2012 - Hemlock UK Techno/House showcase - Highly Recommended!,67132
Alex Burkat,285 Kent EP,Third Ear,201405,Driving & atmospheric DJ tool House tracks,71005
Martyn,The Air Between Words,Ninja Tune,Zen 213,Classy House set; comes w/ download,71040
Breach,Artis EP,Aus Music,1461,DJ tool house tracks,70692
Youandewan,Youandewan EP,Aus Music,1463,DJ tool House b/w Andrés version,71120
James Ruskin,Nan Nife,Blueprint,039,1990s IDM & Techno leaning EP,71028
Terrence Parker & Iron Curtis,Rmx 002,Midnight Shift,Rmx 002,Minimalist late night Tech House DJ tool mixes,35687
MPIA3,AVN005,Avian,005,Black vinyl repress; Acid Techno trips,66730
Ital & Halal,The Day After,Lovers Rock,005,Superb Ambient Techno EP,70728
Martyn,Ghost People,Brainfeeder,025,Detroit Techno centered album w/ UKG/UKF House vibes (comes w/ download),64313
Breaker 1 2,Ratz In The Back,Berceuse Heroique,005,"Noisy, raw, acidic Techno jams",70825
Tuff Sherm,Smugglers Bureau,Berceuse Heroique,005.5,"Distorted, minimalist, oldschool Chicago leaning House jams",70827
Hound Scales,Sabbath Lillie Hawks EP,White Asega,002,"At the edge of noisy, harder House & stomping Techno",70086
Martyn,Forgiveness EP,Ninja Tune,Zen 12393,Classy House set,70900
Lil Silva,Club Constructions Vol.2,Night Slugs,CC 002,Killer UK Funky DJ tool cuts,66246
Alis,Apache,Fifth Wall,012,Fine EP on the edge of hard hitting House & leftfield Techno,70725
Covered In Sand,Crescent Shaped Scars,Mira,008,"Noisy, leftfield Techno related Industrial Electronics",70721
Last Magpie,Influences EP,Electric Minds,030,DJ tool Tech House,70702
MPIA3,AVN004,Avian,004,Black vinyl repress; Acid Techno trips,66122
Earthen Sea,Mirage,Lovers Rock,004,Superb Ambient Techno EP,70140
Paul Mac,Grand Statement EP,Teng,011,1990s reminiscent Acid Techno & House cuts,70080
Allison Chanic,Painlessly in Love,Bedouin,001,Noisy & intense IDM / ‘weightless’ Grime / exploring Electronica EP,32322
Fold,The Grasshopper Lies Heavy EP,Electric Minds,029,"Diverse, dubbed out DJ tool Tech House EP",70597
Stray,Chatterbox EP,Exit,051,"Adventures in exploring leftfield inbetween Drum & Bass, Footwork & UK Bass",70600
Midland,Trace,Aus Music,1456,Big room DJ tool House tracks,70136
Randomer,Scruff Box,Hemlock,015,Funky UK Techno banger,65140
Rebekah,Cult Figures 1,Cult Figures,001,"Stomping, pure, jacking Techno",65708
The Range,Panasonic,Donky Pitch,016,"Fine, loosely leftfield UKG/UK Bass related Electronica EP",70488
Komon & Appleblim,Jupiter,Aus Music,1457,UKG rooted DJ tool House tracks,70017
Alix Perez,U EP,Exit,050,"Pioneering, unparalleled Drum & Bass/Footwork crossover EP",70461
Aashton,Show You EP,Loungin,032,Disco-esque DJ tool UK Tech House,70267
Ital,Throbbing,Lovers Rock,003,Mesmerising Ambient House bomb,29290
A Race Of Angels,Just Begin,Wildheart,002,"Jazzy excursions b/w rework by Theo Parrish, Dego & Akwasi Mensah",70399
Hayfever,Ground Collapse,Formula,008,Bassline centered DJ tool UK House,70370
Theo Parrish,Day Like This,Wildheart,001,"Jazzy excursions w/ singers A. Ashong and Eska, guitarist D. Okumu & Tony Allen",68224
Two Armadillos,Golden Age Thinking Part 3,Two Armadillos,001.3,Smooth 90’s inspired Deep House tools,66251
Glimpse,True South EP,Aus Music,1347,Punchy Big Room DJ tool House/Techno hybrid tracks,68226
Pinch & Roska,Shoulda Rolla,Tectonic,070,Supreme banging UKG/Techno cuts,68259
Nick Dunton,Between Worlds,Surface,BSF 002,Warm ambient techno cuts,63125
George Fitzgerald,Silhouette,Aus Music,1134,Dub techy UKG rooted cuts w/ killer John Roberts mix,63562
Radio Slave,Tantakatan Remixes,Rekids,070,DJ tool House,29146
Nina Kraviz,Ghetto Kraviz,Rekids,059,Dry Chicago House inspired tunes,64758
Ekman,Acid7,Berceuse Heroique,006,Distorted Techno rhythm tracks,25298
Philippe Petit,It Came From Outerspace,Ear To Ground,009,Big room DJ tool Techno,70168
Lockah,"If Loving U Is Wrong, I Don’t Want To Be Wrong",Donky Pitch,014,Universal Italo Disco/Electro/Breakbeat House DJ tool EP,70142
Mark Broom & James Ruskin,Bites,Blueprint,036,DJ tool Techno,66731
Dusky,Careless,Aus Music,1351,Punchy big room DJ tool House,69257
Beaka,Beaka,Infinite Machine,022,UK Bass leaning IDM EP,70081
Denite,Party Music EP,Third Ear,201401,DJ tool House tracks,69996
Neville Watson,Hot & Heavy EP,Don’t Be Afraid,Special Editions 2,Diverse EP from Roots House to Disco leaning cuts,69691
Filippo Blasi Foglietti,John Nixon Memorial EP,Third Ear,201309,Tripping DJ tool House tracks,69288
El Prevost,Allez Ally Remixes,Third Ear,201402,DJ tool House tracks,70055
George Fitzgerald,Child Remixes EP,Aus Music,1241,Banging DJ tool House,66969
Spencer Parker,Versions Francaise,Rekids,061,DJ tool House,29149
Mr. G,Retrospective - Part 2,Rekids,075,"Driving, crafty big room DJ tool House cuts",69417
Jon Convex,Lied To Be Loved (feat. dBridge),3024,018,Classic Techno & Electro leaning cuts w/ classy UK Funky swing,65887
AnD,Non Compliant,Inner Surface Music,002,Crafty DJ tool Techno,64262
S Olbricht,A Place Called Ballacid,Lobster Theremin,WHT 003,"Minimalist, glitchy, raw Ambient House set",14563
The Fear Ratio,Skana,Blueprint,035,Mark Broom & James Ruskin prod. IDM/Techno hybrid EP,66345
El Prevost,Ash EP,Third Ear,201304,Raw beatdown House tracks,67874
Sigha,Shake,Hotflush,HFT 011,Subtle dubbed out house & techno + wonderful droning ambient piece,60922
Automatic Tasty,Sentimentalist's Choice,Central Processing Unit,00000110,Light Acid House jams,69689
Sebmann,Shtun EP,Nineteen89,004,Diverse UK Bass related EP,69688
Sei A,Make It Work EP,Aus Music,1354,Swinging big room DJ tool House tracks,69672
Laurel Halo,Behind The Green Door EP,Hyperdub,HDB 071,Excellent leftfield UK bass related Electronica EP,68702
Torus,Feeel,Sonic Router,006,"Sparse, wonderful Ambient/Downtempo Electronica",69590
Severn Beach,We Continue EP,Audio Culture,011,"Jacking & stepping, atmospheric Techno",69697
NSDOS,Lazer Connect EP,Clek Clek Boom,12012,Stripped down DJ tool Techno/House excursions,69460
Actress,Silver Cloud,Werkdiscs,004,"Intense, mesmerising-melodic leftfield Ambient Techno hybrids",67529
Vernon,How To Travel The Universe (Without A Flying Saucer),Dixon Avenue Basement Jams,1206,Diverse House/Acid House EP,69404
Dauwd,Heat Division Remixes,Pictures Music,018,House remix  set w/ fine Nick Höppner version,69592
Junes,Colours EP,Galdoors,002,DJ tool Deep House cuts,68771
Divvorce,Used Experience EP,Fifth Wall,002,"Banging, slightly noisy EP on the eddge of Techno & harder House",68812
Semtek,Bells,Don’t Be Afraid,001,Stomping minimalist techno,60598
Mr. Beatnick,Savannah EP,Don’t Be Afraid,011,"Warm, crafty House EP",29400
Stray,Matchsticks EP,Exit,047,Very smart Drum & Bass/Footwork hybrid EP,69459
Troy Gunner,Masks,Infinite Machine,015,Fine Ambient House tunes,29404
Ill Life,Ill Life EP,Infinite Machine,019,IDM leaning Techno EP,29406
Roland Appel,Snow In Spring Time EP,Aus Music,0923,House,59516
George Fitzgerald,Child EP,Aus Music,1240,"Jacking, crafty DJ tool House",66138
Louis Guilliaume,Sweet Dreams EP,Teng,009,"Acidic to epic, atmospheric House EP",29293
Palace,Dreamscape,Hot Haus,004,Dry effective DJ tool House bouncers,33873
Mefjus,Contemporary EP,Critical Music,073,"Tough, fresh, hard Drum & Bass",69383
Shit And Shine,Blowhannon,Diagonal,004,Out-there Disco reworks,69305
Guilty Connector,Conspiracy Of Mankind,Planet Mu,079,Two harsh noise core soundscapes,42306
Jo Apps,Kausikan,Planet Mu,167,Trippy indie post-rock flavored electronica,52633
Jake Slazenger,Pewter Dragon,Planet Mu,168,Drifting & wild plastic rock excursions,52632
Aethority,Niceness,Clek Clek Boom,12011,"Effective, raw Parisian Techno/House cuts",68993
Various Artists,Zero Point One,Convex Industries,EP 001,Diverse Electro/Tech House compilation,69275
Burma Camp,Repulsion,Mira,005,"Noisy Techno related, Industrial-esque Drone excursions",69148
Various Artists,Journeys To The Deep Vol. 2,Surface,BSF 003,Melodic ambient Techno cuts,64261
Roska,Shocking EP,Rinse,033,Effective UK Funky legacy,69242
Trevino,Another Lifetime,The Nothing Special,005,"Classy, oldschool aware though refreshing UK House EP",68933
Radio Slave,Bell Clap Dance,Rekids,018,Party guaranteed club tunes,55429
Radio Slave,No Sleep Part Six Remixes,Rekids,042,DJ tool house,59425
Radio Slave,I Don’t Need A Cure For This,Rekids,050,DJ tool house,61662
Radio Slave,East West,Rekids,053,DJ tool House,29148
The Rhythm Odyssey,Celestial Vibrations EP,Rekids,063,DJ tool House,29150
Radio Slave,Live Edits,Rekids,067,DJ tool House,29147
Mr. G,Retrospective - Part 1,Rekids,074,"Driving, crafty big room DJ tool House cuts",68778
Mount Kimbie,Mount Kimbie Remixes Pt. 2,Hotflush,Rmx 007,Crafty house & techno versions,60856
Mr. G,VFM EP,Phoenix G,048,Big room DJ tool House EP,69163
Lrusse & Bleecker,Dot Product,Apple Pips,024,"Slower, warm bassline & chords driven UK House",68580
Arkist & Kidkut,One Year Later,Hotflush,HFT 016,IDM-electronica touched Tech House & UKG rooted tunes,63713
Scuba,The Hope (Recondite Remixes),Hotflush,Rmx 009,DJ tool Tech House,66374
Various Artists,Think And Change LP Sampler 2,Nonplus,023,"Big room UK Techno b/w raw, acidic House cut",67659
Midland,Placement EP,Aus Music,1237,DJ tool House/Tech House EP,65510
DJ Diamond,Flight Muzik Reloaded,Planet Mu,302X,Full on Chicago footwork showcase,48818
Behling & Simpson,Where The Oh’s,Apple Pips,019,"Tripping, spaced out House",66824
Locked Groove,Keep It Simple EP,Hotflush,HFT 023,DJ tool Tech House,66070
Rich Oddie,Refraction,Surface,Ltd. 001,DJ tool Dub/Ambient Techno,64481
DVA Damas,Brand New Head,Downwards,DO 5,Late 1970s UK wave/punk music rooted band project,61123
DVA Damas,Night Shade,Downwards,DN DVA LP 01,Late 1970s UK wave/punk music rooted band project,67701
Komon & Appleblim,Gas Jam,Apple Pips,021,UK House cuts,67918
Velvit,Nudge,Electric Minds,028,"Fine, slightly stepping, dBridge produced Techno/House club cuts",68996
Kode 9,Xingfu Lu,Hyperdub,011,"Chicago Footwork inspired, futuristic tunes",68256
Secluded,Dimension EP,Ear To Ground,002,Stomping Techno EP,65462
Fold,"Upstairs For Thinking, Downstairs For Dancing EP",Electric Minds,027,DJ tool UK Tech House,68642
Black Rain,Protoplasm,Blackest Ever Black,017,Heavy Ambient Electronica excursions,68897
Coni,My Secret Diving EP,Clek Clek Boom,12010,"Classy, boomy 1990s Chicago House leaning EP",68639
Wireman,Monobloc,Inner Surface Music,001,Crafty techno cuts,62895
Photek,Avalanche,Photek Productions,014,Heavy & crispy electronic funk w/ crafty beat design & cinemtatic SFX,62754
DJ Nate,Hatas Our Motivation,Planet Mu,281,Chicago Juke/Footwork 6 track EP,61406
Lily,Trumpets At Dawn,Idle Hands,020,Classy House cuts balancing US oldschool & recent UK  vibes,68839
Pearson Sound,Clutch,Hessle Audio,022,"Ever fresh, percussive, ultra sparse, carefully arranged killer cuts",66591
iO Sounds,iO Sounds,Infinite Machine,017,Somewhat UKG rooted UK House EP,68813
Interplanetary Prophets,Zero Hour,Planet Mu,341,Hieroglyphic Being & Ital co-prod. outer-space-House madness,68803
Sideshow,Fink Dubs EP,Aus Music,1030,Electronic dub EP,61901
Craig Richards,Sleeping Rough,The Nothing Special,003,’Music & Drawings by Craig Richards’,68313
Sev Dah,Divide Et Impera,Naked Index,004,"Floating, atmospheric, subtle Techno",65205
NeferTT,Blue Skies Red Soil EP,Hotflush,HFT 024,DJ tool UK House EP,66604
Sam KDC,Between Dreams,Samurai Music,Horo 004,"Smartly stripped down, techy Drum & Bass cuts",66079
ASC,Lost Sync Part 1,Samurai Music,Horo 005,Fine Ambient Electronica excursions,66634
Jeremy Greenspan & Borys,God Told Me To EP,Jiaolong,009,Effective Disco/Tech House hybrids,68697
Lakker,Arc EP,Blueprint,034,"Fine, noisy-ambientish & stomping Techno EP",65642
Alpha Code,Agapemone EP,Komisch,015,"Raw, noisy DJ tool Techno",68588
Indigo,Reaching The Source,Samurai Music,Horo 009,Fine Ambient/Techno EP,68152
Arkist,Rendezvous (SCB Remixes),Apple Pips,023,"Effective, big room DJ tool UK tech House",68510
Lrusse & Bleecker,Peier Field EP,Audio Culture,008,Effective DJ tool UK Tech House,68059
Kowton,Livity Sound #4,Livity Sound,004,"Stripped down, techy, finest Bristol school House cuts",65516
Mala,Changes (James Blake Harmonimix),Deep Medi Musik,069,One sided whitelabel edition,68273
Appleblim,Fluorescent,Apple Pips,022,"Dubbed out, chords driven UK House trips",68422
IVVVO,Future EP,Public Information,009,Ambient Techno / Electronica album,27033
Femme En Fourrure,36-26-36 Sampler #1,Convex Industries,008,UK Tech House,68393
Femme En Fourrure,36-26-36 Sampler #2,Convex Industries,009,UK Tech House,68394
George Fitzgerald,Thinking Of You,Hotflush,040,Perfect big room House cuts,68279
Kaiju,Hunter,Osiris Music,029,"Sparse, original Dubstep",68153
Photek,Shape Charge,Photek Productions,019,"Fine halfstepping, atmospheric cut b/w acidic Tech House version",68275
Recondite & Julien H Mulder,Shift 003,Midnight Shift,003,"Minimalist, sparsely dubbed out to subtle Electronica atmospherics relying Tech House set",35675
Photek,Pyramid,Photek Productions,018,W/ excellent Beneath version,68155
Tessela,Hackney Parrot,Poly Kicks,001,Cool UK House/Breakbeat hybrid cuts,67885
Rainforest Spiritual Enslavement,Black Magic Cannot Cross Water,Blackest Ever Black,015,Sidelong Ambient excursions,68031
Cottam,Deep Deep Down,Aus Music,1135,Fine Acid & Disco infected House w/ killer Vakula version,64502
Various Artists,Paris Club Music – Volume 1,Clek Clek Boom,LP 001,"Fresh DJ tool EP merging UK Funky, Electro & oldschool Chigago House vibes",67999
Bass Clef,Reeling Skullways,Punch Drunk,CD 005,Excellent UK House album w/ classic Detroit/Chicago House roots,65665
Rhythmic Theory,Legacy Of The Lost,Idle Hands,017,Fine Bristolian House/Techno cuts,67887
Various Artists,So Click Heels,Downwards,Click 1,’A DNS/ compilation’ - 2nd wave Downwards outsider/Indie Rock showcase,66318
Les Sins,Grind,Jiaolong,008,"Classy, effective, uplifting UK House",67939
Kryptic Minds,Namaste EP,Osiris Music,027,Crafty Dubstep cuts,67917
Various Artists,Think And Change,Nonplus,CD 004,"Excellent curated, diverse, class-of-2013 compilation spanning Techno, House & beyond - TIP!",27826
Bakradze,Where Time Forgot,Teal,008,Dub Techno leaning DJ tool Tech House,67779
James Cook,"Sleep Deep, Mountain King",Greta Cottage Workshop,02 LP,Pulsating Lounge Chill-out-Electronica & slightly jazzy House album,19677
Wen,Commotion EP,Keysound,035,Wonderful instrumental Grime/leftfield Dubstep EP,67655
Spatial,The Slammer,Niche ’N’ Bump,001,Crispy UK House,67354
Lewis B,Rhodesalicious,Smokin’ Sessions,012,Mellow atmospheric dubstep & jazzy downtempo cuts,61634
Versa,5AM,Smokin’ Sessions,015,Warm subs driven techy Electronica/UKG hybrids,64148
#.19.21.3.11.21.20,Frozen Border 11,Frozen Border,011,Tripping DJ tool Tech House,65714
Covered In Sand,Covered In Sand,Mira,003,"W/ accompanying 7""; hard leftfield Techno",67816
Four Tet,0181,Text,021,Compilation of Ambient & Downtempo excursions,67638
Rrose x Bob Ostertag,The Surgeon General (1977),Eaux,191,Vintage electronic drone w/ Techno mixes,66348
The Doubtful Guest,Acid Sauna,Planet Mu,189,Full range acid album - from 1990s techno rave to wild breakcore excursions,56011
DVA,Just Vybe,Hyperdub,HDB 040,Excellent UK funky house cuts,61806
Severn Beach,Stitches EP,Audio Culture,007,Effective big room DJ tool Techno & UK House,67780
Killawatt,Press On,Osiris Music,026,"Fresh, noisy & techy Dubstep",67733
µ-Ziq,Somerset Avenue Tracks (1992-1995),Planet Mu,300,"Collection of early 1990s, adventurous UK leftfield Techno & Electronica excursions",34888
Mr. G,Frenetic EP,Phoenix G,046,Big room DJ tool House,67585
Falty DL,She Sleeps (feat. Ed Mcfarlane),Ninja Tune,Zen 12343,Dance Pop/House hybrid in diverse versions,67629
Acteurs,Acteurs,Public Information,008,Chicago duo w/ minimalist Synthesizer excursions & lo-fi Pop in late 1970s tradition,67626
Outboxx,Sunshine Mills,Idle Hands,016,"Crafty, retroesque DJ tool House cuts",67507
Redshape,Throw In Dirt,3024,017,Crafty Detroit House emulation,65141
Nphonix,Tactix EP,Audio Culture,006,"Driving, techy UK House",67593
Tom Dicicco,Exit,Inner Surface Music,003,Subtly dubbed out DJ tool Techno,65644
Wraetlic,Wraetlic LP Sampler 2,Convex Industries,006,Leftfield Electronica/IDM w/ UK Pop references  & Dbridge version,67508
Wraetlic,Wraetlic LP Sampler 3,Convex Industries,007,Leftfield Electronica/IDM w/ UK Pop references  & Von Convex version,67509
Jeremy Greenspan,Drums&Drums&Drums,Jiaolong,006,"Minimalist, mesmerising, extended, acidic Tech House trips",67474
